Season,HomeTeam,AwayTeam,Home_Overall,Home_Att,Home_Mid,Home_Def,Home_Pace,Away_Overall,Away_Att,Away_Mid,Away_Def,Away_Pace,FTHG,FTAG
2019-2020,West Ham United,Everton,72.0909090909091,48.36363636363637,63.72727272727273,53.0,65.54545454545455,71.93939393939394,51.03030303030303,66.63636363636364,53.78787878787879,67.45454545454545,1,1
2019-2020,Southampton,Wolverhampton Wanderers,68.78787878787878,47.333333333333336,60.18181818181818,48.666666666666664,66.18181818181819,69.24242424242425,49.84848484848485,64.63636363636364,51.42424242424242,68.45454545454545,2,3
2019-2020,Newcastle United,Chelsea,73.87878787878788,50.90909090909091,67.33333333333333,56.54545454545455,66.81818181818181,74.63636363636364,52.696969696969695,69.66666666666667,56.57575757575758,66.9090909090909,1,0
2019-2020,Burnley,Leicester City,70.53125,47.09375,60.4375,51.90625,62.28125,73.0909090909091,49.57575757575758,66.42424242424242,57.57575757575758,65.6969696969697,2,1
2019-2020,Liverpool,Manchester United,76.45454545454545,52.09090909090909,69.51515151515152,58.06060606060606,70.12121212121212,76.03030303030303,54.96969696969697,70.87878787878788,59.121212121212125,72.42424242424242,2,0
2019-2020,Crystal Palace,Southampton,69.9090909090909,47.93939393939394,62.45454545454545,54.21212121212121,62.78787878787879,68.78787878787878,47.333333333333336,60.18181818181818,48.666666666666664,66.18181818181819,0,2
2019-2020,Aston Villa,Watford,69.84848484848484,48.21212121212121,62.15151515151515,50.24242424242424,65.81818181818181,72.27272727272727,52.93939393939394,64.54545454545455,50.60606060606061,65.3030303030303,2,1
2019-2020,Everton,Newcastle United,71.93939393939394,51.03030303030303,66.63636363636364,53.78787878787879,67.45454545454545,73.87878787878788,50.90909090909091,67.33333333333333,56.54545454545455,66.81818181818181,2,2
2019-2020,Sheffield United,Manchester City,69.81818181818181,47.03030303030303,60.333333333333336,50.60606060606061,63.45454545454545,76.18181818181819,51.515151515151516,69.72727272727273,54.39393939393939,68.96969696969697,0,1
2019-2020,Chelsea,Arsenal,74.63636363636364,52.696969696969695,69.66666666666667,56.57575757575758,66.9090909090909,74.18181818181819,53.121212121212125,67.0,54.72727272727273,72.15151515151516,2,2
