Season,Team,Player,Position,Nationality
2010-2011,Man United,Gary Neville,,
2010-2011,Man United,Michael Carrick,,
2010-2011,Man United,Owen Hargreaves,,
2010-2011,Man United,Darren Fletcher,,
2010-2011,Man United,Anderson,,
2010-2011,Man United,Paul Scholes,,
2010-2011,Man United,Darron Gibson,,
2010-2011,Man United,Tom Cleverley,,
2010-2011,Man United,Corry Evans,,
2010-2011,Man United,Paul Pogba,,
2010-2011,Man United,Ryan Tunnicliffe,,
2010-2011,Man United,Ryan Giggs,,
2010-2011,Man United,Robbie Brady,,
2010-2011,Man United,Ji-sung Park,,
2010-2011,Man United,Ravel Morrison,,
2010-2011,Man United,Nani,,
2010-2011,Man United,Bebé,,
2010-2011,Man United,Gabriel Obertan,,
2010-2011,Man United,Magnus Wolff Eikrem,,
2010-2011,Man United,Wayne Rooney,,
2010-2011,Man United,Dimitar Berbatov,,
2010-2011,Man United,Chicharito,,
2010-2011,Man United,Michael Owen,,
2010-2011,Man United,Danny Welbeck,,
2010-2011,Man United,Mame Diouf,,
2010-2011,Man United,Federico Macheda,,
2010-2011,Man United,Joshua King,,
2010-2011,Liverpool FC,Pepe Reina,,
2010-2011,Liverpool FC,Brad Jones,,
2010-2011,Liverpool FC,Diego Cavalieri,,
2010-2011,Liverpool FC,Martin Hansen,,
2010-2011,Liverpool FC,Péter Gulácsi,,
2010-2011,Liverpool FC,Daniel Agger,,
2010-2011,Liverpool FC,Martin Skrtel,,
2010-2011,Liverpool FC,Jamie Carragher,,
2010-2011,Liverpool FC,Sotiris Kyrgiakos,,
2010-2011,Liverpool FC,Danny Wilson,,
2010-2011,Liverpool FC,Daniel Ayala,,
2010-2011,Liverpool FC,Conor Coady,,
2010-2011,Liverpool FC,Jack Robinson,,
2010-2011,Liverpool FC,Fábio Aurélio,,
2010-2011,Liverpool FC,Paul Konchesky,,
2010-2011,Liverpool FC,Glen Johnson,,
2010-2011,Liverpool FC,Martin Kelly,,
2010-2011,Liverpool FC,Jon Flanagan,,
2010-2011,Liverpool FC,Stephen Darby,,
2010-2011,Liverpool FC,Andre Wisdom,,
2010-2011,Liverpool FC,Javier Mascherano,,
2010-2011,Liverpool FC,Lucas Leiva,,
2010-2011,Liverpool FC,Christian Poulsen,,
2010-2011,Liverpool FC,Jay Spearing,,
2010-2011,Liverpool FC,Dani Pacheco,,
2010-2011,Liverpool FC,Steven Gerrard,,
2010-2011,Liverpool FC,Alberto Aquilani,,
2010-2011,Liverpool FC,Raúl Meireles,,
2010-2011,Liverpool FC,Jonjo Shelvey,,
2010-2011,Liverpool FC,Joe Cole,,
2010-2011,Liverpool FC,Maxi Rodríguez,,
2010-2011,Liverpool FC,Milan Jovanovic,,
2010-2011,Liverpool FC,Ryan Babel,,
2010-2011,Liverpool FC,Dirk Kuyt,,
2010-2011,Liverpool FC,Tom Ince,,
2010-2011,Liverpool FC,David Amoo,,
2010-2011,Liverpool FC,Fernando Torres,,
2010-2011,Liverpool FC,Luis Suárez,,
2010-2011,Liverpool FC,Andy Carroll,,
2010-2011,Liverpool FC,David N'Gog,,
2010-2011,Liverpool FC,Nathan Eccleston,,
2010-2011,Liverpool FC,Lauri Dalla Valle,,
2010-2011,Arsenal FC,Lukasz Fabianski,,
2010-2011,Arsenal FC,Manuel Almunia,,
2010-2011,Arsenal FC,Wojciech Szczesny,,
2010-2011,Arsenal FC,Vito Mannone,,
2010-2011,Arsenal FC,James Shea,,
2010-2011,Arsenal FC,Jens Lehmann,,
2010-2011,Arsenal FC,Thomas Vermaelen,,
2010-2011,Arsenal FC,Laurent Koscielny,,
2010-2011,Arsenal FC,Johan Djourou,,
2010-2011,Arsenal FC,Sébastien Squillaci,,
2010-2011,Arsenal FC,Ignasi Miquel,,
2010-2011,Arsenal FC,Gaël Clichy,,
2010-2011,Arsenal FC,Kieran Gibbs,,
2010-2011,Arsenal FC,Bacary Sagna,,
2010-2011,Arsenal FC,Emmanuel Eboué,,
2010-2011,Arsenal FC,Alex Song,,
2010-2011,Arsenal FC,Denílson,,
2010-2011,Arsenal FC,Håvard Nordtveit,,
2010-2011,Arsenal FC,Cesc Fàbregas,,
2010-2011,Arsenal FC,Jack Wilshere,,
2010-2011,Arsenal FC,Abou Diaby,,
2010-2011,Arsenal FC,Aaron Ramsey,,
2010-2011,Arsenal FC,Henri Lansbury,,
2010-2011,Arsenal FC,Craig Eastmond,,
2010-2011,Arsenal FC,Conor Henderson,,
2010-2011,Arsenal FC,Samir Nasri,,
2010-2011,Arsenal FC,Tomas Rosicky,,
2010-2011,Arsenal FC,Jay Emmanuel-Thomas,,
2010-2011,Arsenal FC,Andrey Arshavin,,
2010-2011,Arsenal FC,Theo Walcott,,
2010-2011,Arsenal FC,Carlos Vela,,
2010-2011,Arsenal FC,Robin van Persie,,
2010-2011,Arsenal FC,Marouane Chamakh,,
2010-2011,Arsenal FC,Nicklas Bendtner,,
2010-2011,Tottenham,Heurelho Gomes,,
2010-2011,Tottenham,Stipe Pletikosa,,
2010-2011,Tottenham,Carlo Cudicini,,
2010-2011,Tottenham,David Button,,
2010-2011,Tottenham,Ben Alnwick,,
2010-2011,Tottenham,Vedran Corluka,,
2010-2011,Tottenham,Michael Dawson,,
2010-2011,Tottenham,Younès Kaboul,,
2010-2011,Tottenham,William Gallas,,
2010-2011,Tottenham,Sébastien Bassong,,
2010-2011,Tottenham,Ledley King,,
2010-2011,Tottenham,Jonathan Woodgate,,
2010-2011,Tottenham,Bongani Khumalo,,
2010-2011,Tottenham,Steven Caulker,,
2010-2011,Tottenham,Benoît Assou-Ekotto,,
2010-2011,Tottenham,Danny Rose,,
2010-2011,Tottenham,Alan Hutton,,
2010-2011,Tottenham,Kyle Naughton,,
2010-2011,Tottenham,Kyle Walker,,
2010-2011,Tottenham,Wilson Palacios,,
2010-2011,Tottenham,Tom Huddlestone,,
2010-2011,Tottenham,Jake Livermore,,
2010-2011,Tottenham,Luka Modrić,,
2010-2011,Tottenham,Jermaine Jenas,,
2010-2011,Tottenham,Sandro,,
2010-2011,Tottenham,John Bostock,,
2010-2011,Tottenham,David Bentley,,
2010-2011,Tottenham,Steven Pienaar,,
2010-2011,Tottenham,Rafael van der Vaart,,
2010-2011,Tottenham,Niko Kranjcar,,
2010-2011,Tottenham,Gareth Bale,,
2010-2011,Tottenham,Aaron Lennon,,
2010-2011,Tottenham,Andros Townsend,,
2010-2011,Tottenham,Giovani dos Santos,,
2010-2011,Tottenham,Jermain Defoe,,
2010-2011,Tottenham,Peter Crouch,,
2010-2011,Tottenham,Roman Pavlyuchenko,,
2010-2011,Tottenham,Robbie Keane,,
2010-2011,Aston Villa,Brad Friedel,,
2010-2011,Aston Villa,Brad Guzan,,
2010-2011,Aston Villa,Andy Marshall,,
2010-2011,Aston Villa,Richard Dunne,,
2010-2011,Aston Villa,Carlos Cuéllar,,
2010-2011,Aston Villa,James Collins,,
2010-2011,Aston Villa,Curtis Davies,,
2010-2011,Aston Villa,Ciaran Clark,,
2010-2011,Aston Villa,Nathan Baker,,
2010-2011,Aston Villa,Shane Lowry,,
2010-2011,Aston Villa,Stephen Warnock,,
2010-2011,Aston Villa,Ashley Young,,
2010-2011,Aston Villa,Luke Young,,
2010-2011,Aston Villa,Kyle Walker,,
2010-2011,Aston Villa,Habib Beye,,
2010-2011,Aston Villa,Eric Lichaj,,
2010-2011,Aston Villa,Jean Makoun,,
2010-2011,Aston Villa,Jonathan Hogg,,
2010-2011,Aston Villa,Chris Herd,,
2010-2011,Aston Villa,James Milner,,
2010-2011,Aston Villa,Stiliyan Petrov,,
2010-2011,Aston Villa,Nigel Reo-Coker,,
2010-2011,Aston Villa,Michael Bradley,,
2010-2011,Aston Villa,Fabian Delph,,
2010-2011,Aston Villa,Steve Sidwell,,
2010-2011,Aston Villa,Barry Bannan,,
2010-2011,Aston Villa,Isaiah Osbourne,,
2010-2011,Aston Villa,Daniel Johnson,,
2010-2011,Aston Villa,Marc Albrighton,,
2010-2011,Aston Villa,Stewart Downing,,
2010-2011,Aston Villa,Robert Pirès,,
2010-2011,Aston Villa,Stephen Ireland,,
2010-2011,Aston Villa,Moustapha Salifou,,
2010-2011,Aston Villa,Andreas Weimann,,
2010-2011,Aston Villa,Darren Bent,,
2010-2011,Aston Villa,Gabriel Agbonlahor,,
2010-2011,Aston Villa,John Carew,,
2010-2011,Aston Villa,Nathan Delfouneso,,
2010-2011,Aston Villa,Emile Heskey,,
2010-2011,Everton FC,Tim Howard,,
2010-2011,Everton FC,Jan Mucha,,
2010-2011,Everton FC,Iain Turner,,
2010-2011,Everton FC,Jack Rodwell,,
2010-2011,Everton FC,Phil Jagielka,,
2010-2011,Everton FC,John Heitinga,,
2010-2011,Everton FC,Sylvain Distin,,
2010-2011,Everton FC,Shkodran Mustafi,,
2010-2011,Everton FC,Shane Duffy,,
2010-2011,Everton FC,Toto Nsiala,,
2010-2011,Everton FC,Leighton Baines,,
2010-2011,Everton FC,Séamus Coleman,,
2010-2011,Everton FC,Phil Neville,,
2010-2011,Everton FC,Tony Hibbert,,
2010-2011,Everton FC,Marouane Fellaini,,
2010-2011,Everton FC,Mikel Arteta,,
2010-2011,Everton FC,Leon Osman,,
2010-2011,Everton FC,Ross Barkley,,
2010-2011,Everton FC,Adam Forshaw,,
2010-2011,Everton FC,Steven Pienaar,,
2010-2011,Everton FC,Tim Cahill,,
2010-2011,Everton FC,Diniyar Bilyaletdinov,,
2010-2011,Everton FC,Jose Baxter,,
2010-2011,Everton FC,Yakubu Aiyegbeni,,
2010-2011,Everton FC,Louis Saha,,
2010-2011,Everton FC,Jermaine Beckford,,
2010-2011,Everton FC,Victor Anichebe,,
2010-2011,Everton FC,James Vaughan,,
2010-2011,Everton FC,Magaye Gueye,,
2010-2011,Everton FC,João Silva,,
2010-2011,Everton FC,Apostolos Vellios,,
2010-2011,Everton FC,Conor McAleny,,
2010-2011,Sunderland AFC,Craig Gordon,,
2010-2011,Sunderland AFC,Simon Mignolet,,
2010-2011,Sunderland AFC,Trevor Carson,,
2010-2011,Sunderland AFC,Michael Turner,,
2010-2011,Sunderland AFC,Nedum Onuoha,,
2010-2011,Sunderland AFC,Titus Bramble,,
2010-2011,Sunderland AFC,Anton Ferdinand,,
2010-2011,Sunderland AFC,John Mensah,,
2010-2011,Sunderland AFC,Nyron Nosworthy,,
2010-2011,Sunderland AFC,Paulo da Silva,,
2010-2011,Sunderland AFC,Matthew Kilgallon,,
2010-2011,Sunderland AFC,Jean-Yves M'voto,,
2010-2011,Sunderland AFC,Louis Laing,,
2010-2011,Sunderland AFC,Kieran Richardson,,
2010-2011,Sunderland AFC,George McCartney,,
2010-2011,Sunderland AFC,Blair Adams,,
2010-2011,Sunderland AFC,Phil Bardsley,,
2010-2011,Sunderland AFC,Ahmed El Mohamady,,
2010-2011,Sunderland AFC,Marcos Angeleri,,
2010-2011,Sunderland AFC,Jordan Henderson,,
2010-2011,Sunderland AFC,Lee Cattermole,,
2010-2011,Sunderland AFC,Cristian Riveros,,
2010-2011,Sunderland AFC,Jack Colback,,
2010-2011,Sunderland AFC,Adam Reed,,
2010-2011,Sunderland AFC,Sulley Muntari,,
2010-2011,Sunderland AFC,Steed Malbranque,,
2010-2011,Sunderland AFC,David Meyler,,
2010-2011,Sunderland AFC,Billy Knott,,
2010-2011,Sunderland AFC,Andy Reid,,
2010-2011,Sunderland AFC,Stéphane Sessègnon,,
2010-2011,Sunderland AFC,Boudewijn Zenden,,
2010-2011,Sunderland AFC,Craig Lynch,,
2010-2011,Sunderland AFC,Darren Bent,,
2010-2011,Sunderland AFC,Asamoah Gyan,,
2010-2011,Sunderland AFC,Danny Welbeck,,
2010-2011,Sunderland AFC,Fraizer Campbell,,
2010-2011,Sunderland AFC,Martyn Waghorn,,
2010-2011,Sunderland AFC,Jordan Cook,,
2010-2011,Sunderland AFC,Ryan Noble,,
2010-2011,West Ham,Rob Green,,
2010-2011,West Ham,Ruud Boffin,,
2010-2011,West Ham,Marek Stech,,
2010-2011,West Ham,Jake Larkins,,
2010-2011,West Ham,Matthew Upson,,
2010-2011,West Ham,James Tomkins,,
2010-2011,West Ham,Tal Ben Haim,,
2010-2011,West Ham,Radoslav Kovac,,
2010-2011,West Ham,Manuel da Costa,,
2010-2011,West Ham,Jonathan Spector,,
2010-2011,West Ham,Winston Reid,,
2010-2011,West Ham,Danny Gabbidon,,
2010-2011,West Ham,Wayne Bridge,,
2010-2011,West Ham,Hérita Ilunga,,
2010-2011,West Ham,Jordan Brown,,
2010-2011,West Ham,Julien Faubert,,
2010-2011,West Ham,Lars Jacobsen,,
2010-2011,West Ham,Jordan Spence,,
2010-2011,West Ham,Scott Parker,,
2010-2011,West Ham,Valon Behrami,,
2010-2011,West Ham,Mark Noble,,
2010-2011,West Ham,Thomas Hitzlsperger,,
2010-2011,West Ham,Jack Collison,,
2010-2011,West Ham,Gary O'Neil,,
2010-2011,West Ham,Kieron Dyer,,
2010-2011,West Ham,Luís Boa Morte,,
2010-2011,West Ham,Alessandro Diamanti,,
2010-2011,West Ham,Junior Stanislas,,
2010-2011,West Ham,Anthony Edgar,,
2010-2011,West Ham,Pablo Barrera,,
2010-2011,West Ham,Zavon Hines,,
2010-2011,West Ham,Victor Obinna,,
2010-2011,West Ham,Freddie Sears,,
2010-2011,West Ham,Carlton Cole,,
2010-2011,West Ham,Demba Ba,,
2010-2011,West Ham,Robbie Keane,,
2010-2011,West Ham,Frédéric Piquionne,,
2010-2011,West Ham,Benni McCarthy,,
2010-2011,West Ham,Frank Nouble,,
2010-2011,West Ham,Dylan Tombides,,
2010-2011,Newcastle,Steve Harper,,
2010-2011,Newcastle,Fraser Forster,,
2010-2011,Newcastle,Tim Krul,,
2010-2011,Newcastle,Ole Söderberg,,
2010-2011,Newcastle,Fabricio Coloccini,,
2010-2011,Newcastle,Steven Taylor,,
2010-2011,Newcastle,Mike Williamson,,
2010-2011,Newcastle,James Perch,,
2010-2011,Newcastle,Sol Campbell,,
2010-2011,Newcastle,Tamás Kádár,,
2010-2011,Newcastle,José Enrique,,
2010-2011,Newcastle,Danny Simpson,,
2010-2011,Newcastle,Ryan Taylor,,
2010-2011,Newcastle,James Tavernier,,
2010-2011,Newcastle,Cheik Tioté,,
2010-2011,Newcastle,Joey Barton,,
2010-2011,Newcastle,Danny Guthrie,,
2010-2011,Newcastle,Alan Smith,,
2010-2011,Newcastle,Dan Gosling,,
2010-2011,Newcastle,Michael Richardson,,
2010-2011,Newcastle,Jonás Gutiérrez,,
2010-2011,Newcastle,Shane Ferguson,,
2010-2011,Newcastle,Stephen Ireland,,
2010-2011,Newcastle,Kevin Nolan,,
2010-2011,Newcastle,Hatem Ben Arfa,,
2010-2011,Newcastle,Wayne Routledge,,
2010-2011,Newcastle,Kazenga LuaLua,,
2010-2011,Newcastle,Sammy Ameobi,,
2010-2011,Newcastle,Ryan Donaldson,,
2010-2011,Newcastle,Haris Vuckic,,
2010-2011,Newcastle,Andy Carroll,,
2010-2011,Newcastle,Shola Ameobi,,
2010-2011,Newcastle,Peter Løvenkrands,,
2010-2011,Newcastle,Xisco,,
2010-2011,Newcastle,Nile Ranger,,
2010-2011,Newcastle,Leon Best,,
2010-2011,Newcastle,Shefki Kuqi,,
2010-2011,Newcastle,Phil Airey,,
2010-2011,Fulham FC,Mark Schwarzer,,
2010-2011,Fulham FC,David Stockdale,,
2010-2011,Fulham FC,Neil Etheridge,,
2010-2011,Fulham FC,Pascal Zuberbühler,,
2010-2011,Fulham FC,Brede Hangeland,,
2010-2011,Fulham FC,Aaron Hughes,,
2010-2011,Fulham FC,Carlos Salcido,,
2010-2011,Fulham FC,Philippe Senderos,,
2010-2011,Fulham FC,Rafik Halliche,,
2010-2011,Fulham FC,Matthew Briggs,,
2010-2011,Fulham FC,Paul Konchesky,,
2010-2011,Fulham FC,John Paintsil,,
2010-2011,Fulham FC,Stephen Kelly,,
2010-2011,Fulham FC,Fredrik Stoor Siekkinen,,
2010-2011,Fulham FC,Chris Baird,,
2010-2011,Fulham FC,Dickson Etuhu,,
2010-2011,Fulham FC,Mousa Dembélé,,
2010-2011,Fulham FC,Steve Sidwell,,
2010-2011,Fulham FC,Danny Murphy,,
2010-2011,Fulham FC,Jonathan Greening,,
2010-2011,Fulham FC,Bjørn Helge Riise,,
2010-2011,Fulham FC,Kagisho Dikgacoi,,
2010-2011,Fulham FC,Simon Davies,,
2010-2011,Fulham FC,Zoltán Gera,,
2010-2011,Fulham FC,Gaël Kakuta,,
2010-2011,Fulham FC,Damien Duff,,
2010-2011,Fulham FC,Diomansy Kamara,,
2010-2011,Fulham FC,Clint Dempsey,,
2010-2011,Fulham FC,Bobby Zamora,,
2010-2011,Fulham FC,Andy Johnson,,
2010-2011,Fulham FC,Eidur Gudjohnsen,,
2010-2011,Fulham FC,Eddie Johnson,,
2010-2011,Fulham FC,David Elm,,
2010-2011,Fulham FC,Danny Hoesen,,
2010-2011,Bolton Wanderers,Jussi Jääskeläinen,,
2010-2011,Bolton Wanderers,Ali Al-Habsi,,
2010-2011,Bolton Wanderers,Ádám Bogdán,,
2010-2011,Bolton Wanderers,Rob Lainton,,
2010-2011,Bolton Wanderers,Gary Cahill,,
2010-2011,Bolton Wanderers,Zat Knight,,
2010-2011,Bolton Wanderers,David Wheater,,
2010-2011,Bolton Wanderers,Andrew O'Brien,,
2010-2011,Bolton Wanderers,Marcos Alonso,,
2010-2011,Bolton Wanderers,Paul Robinson,,
2010-2011,Bolton Wanderers,Jlloyd Samuel,,
2010-2011,Bolton Wanderers,Ricardo Gardner,,
2010-2011,Bolton Wanderers,Grétar Steinsson,,
2010-2011,Bolton Wanderers,Sam Ricketts,,
2010-2011,Bolton Wanderers,Joey O'Brien,,
2010-2011,Bolton Wanderers,Sean Davis,,
2010-2011,Bolton Wanderers,Fabrice Muamba,,
2010-2011,Bolton Wanderers,Stuart Holden,,
2010-2011,Bolton Wanderers,Mark Davies,,
2010-2011,Bolton Wanderers,Tamir Cohen,,
2010-2011,Bolton Wanderers,Josh Vela,,
2010-2011,Bolton Wanderers,Matthew Taylor,,
2010-2011,Bolton Wanderers,Martin Petrov,,
2010-2011,Bolton Wanderers,Chung-yong Lee,,
2010-2011,Bolton Wanderers,Michael O'Halloran,,
2010-2011,Bolton Wanderers,Robbie Blake,,
2010-2011,Bolton Wanderers,Johan Elmander,,
2010-2011,Bolton Wanderers,Daniel Sturridge,,
2010-2011,Bolton Wanderers,Rodrigo,,
2010-2011,Bolton Wanderers,Kevin Davies,,
2010-2011,Bolton Wanderers,Ivan Klasnic,,
2010-2011,Bolton Wanderers,Danny Ward,,
2010-2011,Bolton Wanderers,Tope Obadeyi,,
2010-2011,Bolton Wanderers,Tom Eaves,,
2010-2011,Birmingham City,Ben Foster,,
2010-2011,Birmingham City,Colin Doyle,,
2010-2011,Birmingham City,Maik Taylor,,
2010-2011,Birmingham City,Roger Johnson,,
2010-2011,Birmingham City,Liam Ridgewell,,
2010-2011,Birmingham City,Scott Dann,,
2010-2011,Birmingham City,Curtis Davies,,
2010-2011,Birmingham City,Martin Jiránek,,
2010-2011,Birmingham City,Alpaslan Öztürk,,
2010-2011,Birmingham City,Fraser Kerr,,
2010-2011,Birmingham City,Jean Beausejour,,
2010-2011,Birmingham City,David Murphy,,
2010-2011,Birmingham City,Stephen Carr,,
2010-2011,Birmingham City,Stuart Parnaby,,
2010-2011,Birmingham City,Barry Ferguson,,
2010-2011,Birmingham City,Sebastian Larsson,,
2010-2011,Birmingham City,Craig Gardner,,
2010-2011,Birmingham City,Lee Bowyer,,
2010-2011,Birmingham City,Míchel Madera,,
2010-2011,Birmingham City,Keith Fahey,,
2010-2011,Birmingham City,Jordon Mutch,,
2010-2011,Birmingham City,Enric Vallès,,
2010-2011,Birmingham City,David Bentley,,
2010-2011,Birmingham City,Aleksandr Hleb,,
2010-2011,Birmingham City,Nathan Redmond,,
2010-2011,Birmingham City,James McFadden,,
2010-2011,Birmingham City,Obafemi Martins,,
2010-2011,Birmingham City,Nikola Zigic,,
2010-2011,Birmingham City,Cameron Jerome,,
2010-2011,Birmingham City,Matt Derbyshire,,
2010-2011,Birmingham City,Garry O'Connor,,
2010-2011,Birmingham City,Marcus Bent,,
2010-2011,Birmingham City,Kevin Phillips,,
2010-2011,Birmingham City,Akwasi Asante,,
2010-2011,Stoke City,Asmir Begovic,,
2010-2011,Stoke City,Thomas Sörensen,,
2010-2011,Stoke City,Carlo Nash,,
2010-2011,Stoke City,Ryan Shawcross,,
2010-2011,Stoke City,Robert Huth,,
2010-2011,Stoke City,Danny Collins,,
2010-2011,Stoke City,Marc Wilson,,
2010-2011,Stoke City,Abdoulaye Faye,,
2010-2011,Stoke City,Danny Higginbotham,,
2010-2011,Stoke City,Ibrahima Sonko,,
2010-2011,Stoke City,Andrew Davies,,
2010-2011,Stoke City,Ryan Shotton,,
2010-2011,Stoke City,Danny Pugh,,
2010-2011,Stoke City,Carl Dickinson,,
2010-2011,Stoke City,Andy Wilkinson,,
2010-2011,Stoke City,Glenn Whelan,,
2010-2011,Stoke City,Diego Arismendi,,
2010-2011,Stoke City,Salif Diao,,
2010-2011,Stoke City,Dean Whitehead,,
2010-2011,Stoke City,Rory Delap,,
2010-2011,Stoke City,Tom Soares,,
2010-2011,Stoke City,Michael Tonge,,
2010-2011,Stoke City,Matty Lund,,
2010-2011,Stoke City,Ben Marshall,,
2010-2011,Stoke City,Matthew Etherington,,
2010-2011,Stoke City,Tuncay Şanlı,,
2010-2011,Stoke City,Jermaine Pennant,,
2010-2011,Stoke City,Jonathan Walters,,
2010-2011,Stoke City,Kenwyne Jones,,
2010-2011,Stoke City,John Carew,,
2010-2011,Stoke City,Ricardo Fuller,,
2010-2011,Stoke City,Eidur Gudjohnsen,,
2010-2011,Stoke City,Mamady Sidibé,,
2010-2011,Blackburn Rovers,Paul Robinson,,
2010-2011,Blackburn Rovers,Mark Bunn,,
2010-2011,Blackburn Rovers,Jason Brown,,
2010-2011,Blackburn Rovers,Frank Fielding,,
2010-2011,Blackburn Rovers,Christopher Samba,,
2010-2011,Blackburn Rovers,Gaël Givet,,
2010-2011,Blackburn Rovers,Phil Jones,,
2010-2011,Blackburn Rovers,Ryan Nelsen,,
2010-2011,Blackburn Rovers,Hérold Goulon,,
2010-2011,Blackburn Rovers,Zurab Khizanishvili,,
2010-2011,Blackburn Rovers,Grant Hanley,,
2010-2011,Blackburn Rovers,Martin Olsson,,
2010-2011,Blackburn Rovers,Lars Jacobsen,,
2010-2011,Blackburn Rovers,Pascal Chimbonda,,
2010-2011,Blackburn Rovers,Míchel Salgado,,
2010-2011,Blackburn Rovers,Jermaine Jones,,
2010-2011,Blackburn Rovers,Steven Nzonzi,,
2010-2011,Blackburn Rovers,Jason Lowe,,
2010-2011,Blackburn Rovers,Morten Gamst Pedersen,,
2010-2011,Blackburn Rovers,Vincenzo Grella,,
2010-2011,Blackburn Rovers,Keith Andrews,,
2010-2011,Blackburn Rovers,Alan Judge,,
2010-2011,Blackburn Rovers,Amine Linganzi,,
2010-2011,Blackburn Rovers,Brett Emerton,,
2010-2011,Blackburn Rovers,Aaron Doran,,
2010-2011,Blackburn Rovers,Josh Morris,,
2010-2011,Blackburn Rovers,David Dunn,,
2010-2011,Blackburn Rovers,Mauro Formica,,
2010-2011,Blackburn Rovers,Robbie Cotton,,
2010-2011,Blackburn Rovers,Junior Hoilett,,
2010-2011,Blackburn Rovers,Rubén Rochina,,
2010-2011,Blackburn Rovers,Roque Santa Cruz,,
2010-2011,Blackburn Rovers,Nikola Kalinić,,
2010-2011,Blackburn Rovers,Mame Diouf,,
2010-2011,Blackburn Rovers,Benjani,,
2010-2011,Blackburn Rovers,El-Hadji Diouf,,
2010-2011,Blackburn Rovers,Jason Roberts,,
2010-2011,West Bromwich Albion,Scott Carson,,
2010-2011,West Bromwich Albion,Boaz Myhill,,
2010-2011,West Bromwich Albion,Dean Kiely,,
2010-2011,West Bromwich Albion,Luke Daniels,,
2010-2011,West Bromwich Albion,Gianni Zuiverloon,,
2010-2011,West Bromwich Albion,Gabriel Tamaș,,
2010-2011,West Bromwich Albion,Gonzalo Jara,,
2010-2011,West Bromwich Albion,Leon Barnett,,
2010-2011,West Bromwich Albion,Jonas Olsson,,
2010-2011,West Bromwich Albion,Pablo Ibáñez,,
2010-2011,West Bromwich Albion,Abdoulaye Méïté,,
2010-2011,West Bromwich Albion,Craig Dawson,,
2010-2011,West Bromwich Albion,Paul Downing,,
2010-2011,West Bromwich Albion,James Hurst,,
2010-2011,West Bromwich Albion,Nicky Shorey,,
2010-2011,West Bromwich Albion,Marek Cech,,
2010-2011,West Bromwich Albion,Joe Mattock,,
2010-2011,West Bromwich Albion,Steven Reid,,
2010-2011,West Bromwich Albion,Paul Scharner,,
2010-2011,West Bromwich Albion,Youssouf Mulumbu,,
2010-2011,West Bromwich Albion,Chris Brunt,,
2010-2011,West Bromwich Albion,James Morrison,,
2010-2011,West Bromwich Albion,Graham Dorrans,,
2010-2011,West Bromwich Albion,Sam Mantom,,
2010-2011,West Bromwich Albion,George Thorne,,
2010-2011,West Bromwich Albion,Somen Tchoyi,,
2010-2011,West Bromwich Albion,Jerome Thomas,,
2010-2011,West Bromwich Albion,Carlos Vela,,
2010-2011,West Bromwich Albion,Peter Odemwingie,,
2010-2011,West Bromwich Albion,Marc-Antoine Fortuné,,
2010-2011,West Bromwich Albion,Ishmael Miller,,
2010-2011,West Bromwich Albion,Luke Moore,,
2010-2011,West Bromwich Albion,Roman Bednar,,
2010-2011,West Bromwich Albion,Giles Barnes,,
2010-2011,West Bromwich Albion,Simon Cox,,
2010-2011,West Bromwich Albion,Chris Wood,,
2010-2011,West Bromwich Albion,Saido Berahino,,
2010-2011,Wolves,Wayne Hennessey,,
2010-2011,Wolves,Marcus Hahnemann,,
2010-2011,Wolves,Carl Ikeme,,
2010-2011,Wolves,Adriano Basso,,
2010-2011,Wolves,Christophe Berra,,
2010-2011,Wolves,Jelle Van Damme,,
2010-2011,Wolves,Michael Mancienne,,
2010-2011,Wolves,Richard Stearman,,
2010-2011,Wolves,George Elokobi,,
2010-2011,Wolves,Ronald Zubar,,
2010-2011,Wolves,Greg Halford,,
2010-2011,Wolves,Jody Craddock,,
2010-2011,Wolves,Steven Mouyokolo,,
2010-2011,Wolves,Danny Batth,,
2010-2011,Wolves,Ethan Ebanks-Landell,,
2010-2011,Wolves,John Dunleavy,,
2010-2011,Wolves,Stephen Ward,,
2010-2011,Wolves,Scott Malone,,
2010-2011,Wolves,Kevin Foley,,
2010-2011,Wolves,Matt Doherty,,
2010-2011,Wolves,Karl Henry,,
2010-2011,Wolves,Adlène Guédioura,,
2010-2011,Wolves,Jamie O'Hara,,
2010-2011,Wolves,Nenad Milijas,,
2010-2011,Wolves,David Edwards,,
2010-2011,Wolves,David Jones,,
2010-2011,Wolves,David Davis,,
2010-2011,Wolves,Nathan Rooney,,
2010-2011,Wolves,Stephen Hunt,,
2010-2011,Wolves,Ashley Hemmings,,
2010-2011,Wolves,Matt Jarvis,,
2010-2011,Wolves,Michael Kightly,,
2010-2011,Wolves,Adam Hammill,,
2010-2011,Wolves,Geoffrey Mujangi Bia,,
2010-2011,Wolves,Kevin Doyle,,
2010-2011,Wolves,Steven Fletcher,,
2010-2011,Wolves,Sylvan Ebanks-Blake,,
2010-2011,Wolves,Andy Keogh,,
2010-2011,Wolves,Marcus Bent,,
2010-2011,Wolves,Sam Vokes,,
2010-2011,Wolves,Leigh Griffiths,,
2010-2011,Wolves,Sam Winnall,,
2010-2011,Wigan Athletic,Chris Kirkland,,
2010-2011,Wigan Athletic,Ali Al-Habsi,,
2010-2011,Wigan Athletic,Mike Pollitt,,
2010-2011,Wigan Athletic,Lee Nicholls,,
